"Candidates","Suppliers","DistanceCandidateSupplier"
23,9,116.89
23,10,124.51
23,11,218.48
23,12,73.56
23,13,110.89
23,14,16.2
23,15,90.35
23,16,100.77
23,17,113.47
23,18,75.76
23,19,67.45
23,20,70.62
23,21,98.38
23,22,111.5
23,23,96.13
23,24,104.08
23,25,190.98
23,26,191.03
23,27,150.31
23,28,158.16
23,29,76.1
23,30,176.45
23,31,142.62
23,32,115.15
23,33,210.5
23,34,284.48
23,35,151.35
23,36,140.62
23,37,126.2
23,38,103.14
23,39,231.46
23,40,190.29
23,41,174.1
23,42,171.04
23,43,147.76
23,44,144.93
23,45,89.02
23,46,28.12
23,47,17.3
23,48,60.34
23,49,95.7
23,50,140.09
23,51,109.84
23,52,157.83
23,53,167.72
24,1,191.82
24,2,210.77
24,3,190.19
24,4,48.3
24,5,175.87
24,6,225.16
24,7,85.69
24,8,214.04
24,9,128.23
24,10,135.85
24,11,229.82
24,12,79.5
24,13,116.83
24,14,30.66
24,15,101.69
24,16,112.11
24,17,124.81
24,18,87.1
24,19,78.78
24,20,81.96
24,21,109.72
24,22,122.84
24,23,107.47
24,24,115.42
24,25,202.32
24,26,202.37
24,27,161.65
24,28,169.5
24,29,87.44
24,30,187.79
24,31,153.96
24,32,126.49
24,33,216.45
24,34,295.82
24,35,162.69
24,36,151.95
24,37,137.54
24,38,109.09
24,39,242.8
24,40,201.63
24,41,185.44
24,42,182.38
24,43,159.1
24,44,156.27
24,45,100.36
24,46,39.46
24,47,31.25
24,48,66.29
24,49,101.65
24,50,151.43
24,51,121.18
24,52,169.17
24,53,179.06
25,1,181.9
25,2,221.4
25,3,183.06
25,4,58.93
25,5,186.5
25,6,235.79
25,7,96.32
25,8,224.67
25,9,138.86
25,10,146.48
25,11,240.46
25,12,69.58
25,13,106.91
25,14,31.88
25,15,112.32
25,16,122.75
25,17,135.44
25,18,97.74
25,19,89.42
25,20,92.59
25,21,120.35
25,22,133.47
25,23,118.11
25,24,126.05
25,25,212.95
25,26,213.01
25,27,172.29
25,28,180.13
25,29,98.07
25,30,198.42
25,31,164.59
25,32,137.13
25,33,206.53
25,34,306.45
25,35,173.32
25,36,162.59
25,37,148.18
25,38,99.16
25,39,253.43
25,40,212.26
25,41,196.07
25,42,193.01
25,43,169.73
25,44,166.9
25,45,110.99
25,46,50.09
25,47,32.99
25,48,56.37
25,49,91.72
25,50,162.06
25,51,131.82
25,52,179.81
25,53,189.69
26,1,162.27
26,2,191.96
26,3,163.43
26,4,51.04
26,5,185.23
26,6,234.52
26,7,95.05
26,8,223.4
26,9,137.59
26,10,145.21
26,11,239.18
26,12,49.95
26,13,87.28
26,14,26.63
26,15,111.05
26,16,121.47
26,17,134.17
26,18,96.46
26,19,88.14
26,20,91.32
26,21,119.08
26,22,132.2
26,23,116.83
26,24,124.78
26,25,211.68
26,26,211.73
26,27,171.01
26,28,178.86
26,29,96.8
26,30,197.15
26,31,163.32
26,32,135.85
26,33,186.9
26,34,280.95
26,35,172.05
26,36,161.31
26,37,146.9
26,38,79.54
26,39,252.16
26,40,210.99
26,41,194.8
26,42,191.74
26,43,168.46
26,44,165.63
26,45,109.72
26,46,48.82
26,47,31.37
26,48,36.74
26,49,72.1
26,50,160.79
26,51,130.54
26,52,178.53
26,53,188.42
27,1,158.95
27,2,188.64
27,3,160.1
27,4,55.24
27,5,190.73
27,6,240.02
27,7,100.55
27,8,228.9
27,9,143.09
27,10,150.71
27,11,244.68
27,12,46.63
27,13,83.96
27,14,27.86
27,15,116.55
27,16,126.97
27,17,139.67
27,18,101.96
27,19,93.64
27,20,96.82
27,21,124.58
27,22,137.7
27,23,122.33
27,24,130.28
27,25,217.18
27,26,217.23
27,27,176.51
27,28,184.36
27,29,102.3
27,30,202.65
27,31,168.82
27,32,141.35
27,33,183.58
27,34,277.63
27,35,177.55
27,36,166.81
27,37,152.4
27,38,76.21
27,39,257.66
27,40,216.49
27,41,200.3
27,42,197.24
27,43,173.96
27,44,171.13
27,45,115.22
27,46,54.32
27,47,35.88
27,48,33.42
27,49,68.77
27,50,166.29
27,51,136.04
27,52,184.03
27,53,193.92
28,1,175.16
28,2,190.56
28,3,169.38
28,4,20.16
28,5,155.65
28,6,204.95
28,7,65.47
28,8,193.82
28,9,108.02
28,10,115.63
28,11,209.61
28,12,62.85
28,13,100.18
28,14,10.39
28,15,81.47
28,16,91.9
28,17,104.6
28,18,66.89
28,19,58.57
28,20,61.74
28,21,89.5
28,22,102.62
28,23,87.26
28,24,95.2
28,25,182.1
28,26,182.16
28,27,141.44
28,28,149.28
28,29,67.23
28,30,167.58
28,31,133.75
28,32,106.28
28,33,199.79
28,34,275.6
28,35,142.47
28,36,131.74
28,37,117.33
28,38,92.43
28,39,222.58
28,40,181.42
28,41,165.22
28,42,162.16
28,43,138.88
28,44,136.05
28,45,80.14
28,46,19.24
28,47,0.81
28,48,49.63
28,49,84.99
28,50,131.22
28,51,100.97
28,52,148.96
28,53,158.84
29,1,166.88
29,2,171.46
29,3,161.09
29,4,27.16
29,5,165.87
29,6,215.16
29,7,75.69
29,8,204.04
29,9,118.23
29,10,125.85
29,11,219.82
29,12,54.56
29,13,91.89
29,14,12.16
29,15,91.69
29,16,102.11
29,17,114.81
29,18,77.1
29,19,68.78
29,20,71.96
29,21,99.72
29,22,112.84
29,23,97.47
29,24,105.42
29,25,192.32
29,26,192.37
29,27,151.65
29,28,159.5
29,29,77.44
29,30,177.79
29,31,143.96
29,32,116.49
29,33,191.51
29,34,264.93
29,35,152.69
29,36,141.95
29,37,127.54
29,38,84.14
29,39,232.8
29,40,191.63
29,41,175.44
29,42,172.38
29,43,149.1
29,44,146.27
29,45,90.36
29,46,29.46
29,47,11.02
29,48,41.35
29,49,76.7
29,50,141.43
29,51,111.18
29,52,159.17
29,53,169.06
30,1,173.54
30,2,209.08
30,3,167.75
30,4,40.02
30,5,174.17
30,6,223.47
30,7,83.99
30,8,212.34
30,9,126.54
30,10,134.15
30,11,228.13
30,12,61.22
30,13,98.55
30,14,13.68
30,15,99.99
30,16,110.42
30,17,123.12
30,18,85.41
30,19,77.09
30,20,80.26
30,21,108.02
30,22,121.15
30,23,105.78
30,24,113.72
30,25,200.62
30,26,200.68
30,27,159.96
30,28,167.8
30,29,85.75
30,30,186.1
30,31,152.27
30,32,124.8
30,33,198.17
30,34,294.13
30,35,160.99
30,36,150.26
30,37,135.85
30,38,90.8
30,39,241.1
30,40,199.94
30,41,183.74
30,42,180.68
30,43,157.4
30,44,154.57
30,45,98.67
30,46,37.77
30,47,21.5
30,48,48.01
30,49,83.36
30,50,149.74
30,51,119.49
30,52,167.48
30,53,177.37
31,1,155.95
31,2,176.12
31,3,150.16
31,4,42.19
31,5,177.68
31,6,226.97
31,7,87.5
31,8,215.85
31,9,130.04
31,10,137.66
31,11,231.63
31,12,43.63
31,13,80.96
31,14,19.1
31,15,103.5
31,16,113.92
31,17,126.62
31,18,88.91
31,19,80.6
31,20,83.77
31,21,111.53
31,22,124.65
31,23,109.28
31,24,117.23
31,25,204.13
31,26,204.18
31,27,163.46
31,28,171.31
31,29,89.25
31,30,189.6
31,31,155.77
31,32,128.3
31,33,180.58
31,34,267.69
31,35,164.5
31,36,153.77
31,37,139.35
31,38,73.22
31,39,244.61
31,40,203.44
31,41,187.25
31,42,184.19
31,43,160.91
31,44,158.08
31,45,102.17
31,46,41.27
31,47,22.84
31,48,30.42
31,49,65.78
31,50,153.24
31,51,122.99
31,52,170.98
31,53,180.87
32,1,144.61
32,2,169.66
32,3,141.13
32,4,54.35
32,5,189.84
32,6,239.13
32,7,99.66
32,8,228.01
32,9,142.2
32,10,149.82
32,11,243.8
32,12,32.29
32,13,69.62
32,14,31.27
32,15,115.66
32,16,126.09
32,17,138.78
32,18,101.08
32,19,92.76
32,20,95.93
32,21,123.69
32,22,136.81
32,23,96.37
32,24,129.39
32,25,216.29
32,26,216.35
32,27,175.63
32,28,183.47
32,29,101.42
32,30,201.76
32,31,167.93
32,32,140.47
32,33,169.24
32,34,258.65
32,35,176.66
32,36,165.93
32,37,151.52
32,38,61.88
32,39,256.77
32,40,215.6
32,41,199.41
32,42,196.35
32,43,173.07
32,44,170.24
32,45,114.33
32,46,53.43
32,47,35
32,48,19.08
32,49,54.44
32,50,165.41
32,51,135.16
32,52,183.15
32,53,193.03
33,1,143.31
33,2,178.8
33,3,150.27
33,4,67.17
33,5,202.66
33,6,251.96
33,7,112.48
33,8,240.83
33,9,143.54
33,10,162.64
33,11,256.62
33,12,30.99
33,13,68.32
33,14,44.09
33,15,128.48
33,16,138.91
33,17,151.61
33,18,113.9
33,19,105.58
33,20,108.75
33,21,136.51
33,22,143.4
33,23,134.27
33,24,142.21
33,25,229.11
33,26,229.17
33,27,188.45
33,28,196.29
33,29,114.24
33,30,214.59
33,31,180.76
33,32,153.29
33,33,167.94
33,34,267.79
33,35,189.48
33,36,178.75
33,37,164.34
33,38,60.58
33,39,269.59
33,40,228.43
33,41,212.23
33,42,209.17
33,43,185.89
33,44,183.06
33,45,127.16
33,46,66.26
33,47,47.82
33,48,17.78
33,49,53.14
33,50,178.23
