"Customers","Products","Periods","DemandPeriods"
4,4,9,963
4,4,10,1082
5,1,1,560
5,1,2,1044
5,1,3,1741
5,1,4,2124
5,1,5,2617
5,1,6,3267
5,1,7,3748
5,1,8,4086
5,1,9,4455
5,1,10,5032
5,2,1,253
5,2,2,652
5,2,3,972
5,2,4,1228
5,2,5,1544
5,2,6,1697
5,2,7,2106
5,2,8,2221
5,2,9,2536
5,2,10,2794
5,3,1,3043
5,3,2,6201
5,3,3,8841
5,3,4,14041
5,3,5,14943
5,3,6,19717
5,3,7,23783
5,3,8,25716
5,3,9,29027
5,3,10,33258
5,4,1,482
5,4,2,946
5,4,3,1340
5,4,4,1527
5,4,5,2282
5,4,6,2620
5,4,7,2897
5,4,8,3405
5,4,9,3653
5,4,10,4080
6,1,1,5142
6,1,2,8853
6,1,3,14558
6,1,4,22965
6,1,5,26588
6,1,6,32614
6,1,7,37395
6,1,8,42440
6,1,9,46999
6,1,10,53235
6,2,1,1728
6,2,2,3987
6,2,3,6029
6,2,4,7845
6,2,5,9317
6,2,6,10293
6,2,7,12962
6,2,8,13907
6,2,9,15312
6,2,10,17434
6,3,1,33775
6,3,2,72345
6,3,3,101699
6,3,4,128904
6,3,5,145754
6,3,6,179475
6,3,7,205201
6,3,8,261613
6,3,9,280920
6,3,10,312657
6,4,1,3111
6,4,2,4396
6,4,3,6946
6,4,4,10608
6,4,5,12911
6,4,6,15529
6,4,7,18544
6,4,8,20231
6,4,9,24221
6,4,10,26111
7,1,1,1002
7,1,2,2013
7,1,3,3087
7,1,4,4569
7,1,5,5413
7,1,6,6449
7,1,7,7443
7,1,8,8494
7,1,9,9730
7,1,10,10770
7,2,1,924
7,2,2,2287
7,2,3,3602
7,2,4,4324
7,2,5,5981
7,2,6,6494
7,2,7,8299
7,2,8,9215
7,2,9,10201
7,2,10,11513
7,3,1,5031
7,3,2,8167
7,3,3,13775
7,3,4,18681
7,3,5,21790
7,3,6,24246
7,3,7,29604
7,3,8,34420
7,3,9,38363
7,3,10,44224
7,4,1,512
7,4,2,1341
7,4,3,1799
7,4,4,2082
7,4,5,2927
7,4,6,3649
7,4,7,4155
7,4,8,4941
7,4,9,5217
7,4,10,5958
8,1,1,1119
8,1,2,2359
8,1,3,3604
8,1,4,4121
8,1,5,5716
8,1,6,6915
8,1,7,8047
8,1,8,8450
8,1,9,9857
8,1,10,10887
8,2,1,870
8,2,2,1581
8,2,3,2546
8,2,4,3475
8,2,5,4550
8,2,6,5538
8,2,7,6284
8,2,8,7230
8,2,9,7533
8,2,10,8612
8,3,1,4982
8,3,2,11851
8,3,3,15860
8,3,4,22768
8,3,5,24507
8,3,6,34056
8,3,7,38978
8,3,8,42986
8,3,9,46234
8,3,10,53167
8,4,1,574
8,4,2,1100
8,4,3,1482
8,4,4,1970
8,4,5,2726
8,4,6,3255
8,4,7,3542
8,4,8,4502
8,4,9,4700
8,4,10,5390
9,1,1,2256
9,1,2,4055
9,1,3,6048
9,1,4,9374
9,1,5,9785
9,1,6,13484
9,1,7,15567
9,1,8,15988
9,1,9,18554
9,1,10,21045
9,2,1,1259
9,2,2,2429
9,2,3,3522
9,2,4,5181
9,2,5,6186
9,2,6,6579
9,2,7,9130
9,2,8,9167
9,2,9,10591
9,2,10,12084
9,3,1,15230
9,3,2,30844
9,3,3,40225
9,3,4,58100
9,3,5,70530
9,3,6,82282
9,3,7,92695
9,3,8,117793
9,3,9,124107
9,3,10,141739
9,4,1,1358
9,4,2,2418
9,4,3,4279
9,4,4,4419
9,4,5,5854
9,4,6,7871
9,4,7,9531
9,4,8,10142
9,4,9,11372
9,4,10,12810
10,1,1,801
10,1,2,1819
10,1,3,2466
10,1,4,3690
10,1,5,4215
10,1,6,5399
10,1,7,6810
10,1,8,7433
10,1,9,8209
10,1,10,9235
10,2,1,856
10,2,2,1836
10,2,3,2433
10,2,4,3206
10,2,5,4098
10,2,6,5148
10,2,7,6976
10,2,8,7187
10,2,9,8083
10,2,10,9247
10,3,1,4853
10,3,2,9374
10,3,3,15292
10,3,4,20912
10,3,5,24076
10,3,6,32205
10,3,7,38107
10,3,8,40807
10,3,9,46594
10,3,10,51161
10,4,1,1022
10,4,2,2925
10,4,3,3502
10,4,4,5471
10,4,5,6124
10,4,6,7349
10,4,7,9303
10,4,8,9834
10,4,9,11083
10,4,10,12570
11,1,1,5643
11,1,2,8452
11,1,3,13808
11,1,4,19798
11,1,5,26055
11,1,6,31301
11,1,7,34302
11,1,8,38256
11,1,9,43954
11,1,10,47431
11,2,1,3162
11,2,2,6536
11,2,3,12346
11,2,4,14652
11,2,5,18458
11,2,6,22485
11,2,7,29332
11,2,8,30426
11,2,9,36671
11,2,10,39479
11,3,1,49140
11,3,2,91771
11,3,3,143886
11,3,4,208591
11,3,5,213731
11,3,6,285570
11,3,7,333276
11,3,8,381114
11,3,9,420895
11,3,10,483278
11,4,1,3716
11,4,2,7398
11,4,3,8779
11,4,4,13287
11,4,5,17489
11,4,6,18365
11,4,7,23985
11,4,8,24362
11,4,9,27441
11,4,10,31732
12,1,1,2002
12,1,2,4758
12,1,3,6944
12,1,4,7943
12,1,5,11818
12,1,6,12069
12,1,7,14410
12,1,8,17151
12,1,9,20127
12,1,10,22188
12,2,1,1348
12,2,2,2535
12,2,3,3384
12,2,4,5157
12,2,5,6326
12,2,6,6749
12,2,7,7974
12,2,8,9204
12,2,9,10929
12,2,10,11930
12,3,1,7344
12,3,2,13531
12,3,3,16488
12,3,4,25746
12,3,5,35065
12,3,6,37493
12,3,7,45369
12,3,8,50578
12,3,9,57879
12,3,10,63083
12,4,1,1181
12,4,2,3264
12,4,3,3756
12,4,4,5337
12,4,5,7970
12,4,6,9296
12,4,7,9281
12,4,8,11277
12,4,9,12938
12,4,10,14405
13,1,1,975
13,1,2,1706
13,1,3,3226
13,1,4,4422
13,1,5,5000
13,1,6,5990
13,1,7,7531
13,1,8,8116
13,1,9,9287
13,1,10,10091
13,2,1,512
13,2,2,1243
13,2,3,1790
13,2,4,1968
13,2,5,2908
13,2,6,3401
13,2,7,4091
13,2,8,4634
13,2,9,5202
13,2,10,5578
13,3,1,6827
13,3,2,10776
13,3,3,18512
13,3,4,28425
13,3,5,31601
13,3,6,36773
13,3,7,47270
13,3,8,50233
13,3,9,58758
13,3,10,62968
13,4,1,550
13,4,2,881
13,4,3,1303
13,4,4,2204
13,4,5,2757
13,4,6,3070
13,4,7,3709
13,4,8,4166
13,4,9,4668
13,4,10,5057
14,1,1,1734
14,1,2,3332
14,1,3,5113
14,1,4,5998
14,1,5,7858
14,1,6,8633
14,1,7,10115
14,1,8,12808
14,1,9,13444
14,1,10,15337
14,2,1,1028
14,2,2,2087
14,2,3,3803
14,2,4,4662
14,2,5,5020
14,2,6,6831
14,2,7,7692
14,2,8,9027
14,2,9,9749
14,2,10,11130
14,3,1,10127
14,3,2,22102
14,3,3,29243
14,3,4,39067
14,3,5,49943
14,3,6,62221
14,3,7,61622
14,3,8,75773
14,3,9,85111
14,3,10,95586
14,4,1,1050
14,4,2,1624
14,4,3,2288
14,4,4,3250
14,4,5,4410
14,4,6,5254
14,4,7,5820
14,4,8,6860
14,4,9,7973
14,4,10,8885
15,1,1,2007
15,1,2,5729
15,1,3,6671
15,1,4,10884
15,1,5,11319
15,1,6,15959
15,1,7,17853
15,1,8,20560
15,1,9,21751
15,1,10,24796
15,2,1,1668
15,2,2,3100
15,2,3,5061
15,2,4,5524
15,2,5,7572
15,2,6,9265
15,2,7,9724
15,2,8,11791
15,2,9,12962
15,2,10,14715
15,3,1,24845
15,3,2,49592
15,3,3,69466
15,3,4,88548
15,3,5,113800
15,3,6,134500
15,3,7,148289
15,3,8,167542
15,3,9,196348
15,3,10,222410
15,4,1,1778
15,4,2,3974
15,4,3,5555
15,4,4,7864
15,4,5,10470
15,4,6,12058
15,4,7,15244
15,4,8,16585
15,4,9,20118
15,4,10,21521
16,1,1,985
16,1,2,2200
16,1,3,2804
16,1,4,3526
16,1,5,4733
16,1,6,5179
16,1,7,6487
16,1,8,7592
16,1,9,8123
16,1,10,9394
16,2,1,293
16,2,2,608
16,2,3,790
16,2,4,1083
16,2,5,1379
16,2,6,1650
16,2,7,2121
16,2,8,2260
16,2,9,2458
16,2,10,2810
16,3,1,3921
16,3,2,5870
16,3,3,9893
16,3,4,15754
16,3,5,17701
16,3,6,21265
16,3,7,25141
16,3,8,28049
16,3,9,31113
16,3,10,34895
16,4,1,601
16,4,2,1150
16,4,3,1399
16,4,4,2192
16,4,5,2730
16,4,6,2866
16,4,7,3312
16,4,8,4161
16,4,9,4420
16,4,10,5080
17,1,1,257
17,1,2,612
17,1,3,830
17,1,4,1091
17,1,5,1546
17,1,6,1990
17,1,7,2004
17,1,8,2519
17,1,9,2665
17,1,10,3056
17,2,1,292
17,2,2,649
17,2,3,944
17,2,4,1059
17,2,5,1335
17,2,6,1783
17,2,7,2115
17,2,8,2380
17,2,9,2716
17,2,10,3019
17,3,1,1946
17,3,2,2963
17,3,3,4493
17,3,4,6600
17,3,5,7518
17,3,6,10332
17,3,7,11498
17,3,8,12681
17,3,9,14262
17,3,10,16500
17,4,1,296
17,4,2,725
17,4,3,1025
17,4,4,1276
17,4,5,1846
17,4,6,2083
17,4,7,2454
17,4,8,2792
17,4,9,3000
17,4,10,3353
18,1,1,125
18,1,2,261
18,1,3,385
18,1,4,594
18,1,5,763
18,1,6,917
18,1,7,1034
18,1,8,1198
18,1,9,1317
18,1,10,1518
18,2,1,145
18,2,2,331
18,2,3,527
18,2,4,694
18,2,5,726
18,2,6,884
18,2,7,1113
18,2,8,1333
18,2,9,1368
18,2,10,1572
18,3,1,757
18,3,2,1562
18,3,3,2888
18,3,4,3766
18,3,5,3959
18,3,6,5045
18,3,7,5673
18,3,8,6446
18,3,9,7387
18,3,10,8546
18,4,1,176
18,4,2,306
18,4,3,491
18,4,4,694
18,4,5,857
18,4,6,1039
18,4,7,1038
18,4,8,1214
18,4,9,1450
18,4,10,1598
19,1,1,52
19,1,2,113
19,1,3,133
19,1,4,224
19,1,5,236
19,1,6,323
19,1,7,353
19,1,8,405
19,1,9,438
19,1,10,502
19,2,1,25
19,2,2,37
19,2,3,57
19,2,4,84
19,2,5,98
19,2,6,128
19,2,7,156
19,2,8,162
19,2,9,198
19,2,10,213
19,3,1,188
19,3,2,321
19,3,3,525
19,3,4,682
19,3,5,951
19,3,6,1214
19,3,7,1303
19,3,8,1436
19,3,9,1640
19,3,10,1858
19,4,1,11
19,4,2,24
19,4,3,31
19,4,4,52
19,4,5,65
19,4,6,78
19,4,7,88
19,4,8,102
19,4,9,111
19,4,10,123
20,1,1,118
20,1,2,187
20,1,3,339
20,1,4,378
20,1,5,473
20,1,6,638
20,1,7,742
20,1,8,886
20,1,9,955
20,1,10,1046
20,2,1,199
20,2,2,292
20,2,3,507
20,2,4,713
20,2,5,813
20,2,6,1023
20,2,7,1108
20,2,8,1310
20,2,9,1481
20,2,10,1673
20,3,1,728
20,3,2,1492
20,3,3,2084
20,3,4,2718
20,3,5,3149
20,3,6,4448
20,3,7,4624
20,3,8,5754
20,3,9,6384
20,3,10,6842
20,4,1,274
20,4,2,638
20,4,3,872
20,4,4,1247
20,4,5,1350
20,4,6,1732
20,4,7,1884
20,4,8,2352
20,4,9,2493
20,4,10,2870
21,1,1,757
21,1,2,1415
21,1,3,2337
21,1,4,3069
21,1,5,3861
21,1,6,4887
21,1,7,5496
21,1,8,6380
21,1,9,6833
21,1,10,7538
21,2,1,578
21,2,2,1070
21,2,3,1551
21,2,4,1709
21,2,5,2707
21,2,6,3177
21,2,7,3480
21,2,8,3941
21,2,9,4527
21,2,10,4870
21,3,1,5009
21,3,2,11146
21,3,3,14725
21,3,4,18629
21,3,5,22766
21,3,6,30344
21,3,7,35783
21,3,8,41024
21,3,9,44716
21,3,10,48948
21,4,1,271
21,4,2,634
21,4,3,953
21,4,4,1186
21,4,5,1641
21,4,6,1941
21,4,7,2064
21,4,8,2483
21,4,9,2790
21,4,10,3133
22,1,1,2234
22,1,2,3920
22,1,3,6097
22,1,4,7325
22,1,5,8325
22,1,6,12161
22,1,7,13203
22,1,8,14697
22,1,9,17359
22,1,10,18876
22,2,1,941
22,2,2,2071
22,2,3,3054
22,2,4,4221
22,2,5,4348
22,2,6,5898
22,2,7,7067
22,2,8,7732
22,2,9,8458
22,2,10,9755
22,3,1,3758
22,3,2,7141
22,3,3,13435
22,3,4,16266
22,3,5,19457
22,3,6,21757
22,3,7,27019
22,3,8,30683
22,3,9,34816
22,3,10,39342
22,4,1,385
22,4,2,927
22,4,3,1187
22,4,4,1801
22,4,5,2410
22,4,6,2736
22,4,7,3500
22,4,8,3933
22,4,9,4108
22,4,10,4647
23,1,1,3295
23,1,2,5843
23,1,3,9678
23,1,4,11617
23,1,5,15362
23,1,6,16186
23,1,7,20252
23,1,8,22945
23,1,9,25569
23,1,10,28635
23,2,1,1228
23,2,2,2608
23,2,3,3924
23,2,4,5437
23,2,5,6349
23,2,6,7793
23,2,7,8270
23,2,8,10278
23,2,9,11286
23,2,10,12699
23,3,1,18995
23,3,2,37419
23,3,3,56945
23,3,4,68768
23,3,5,92072
23,3,6,109442
23,3,7,115717
23,3,8,128761
23,3,9,155704
23,3,10,169553
23,4,1,1230
23,4,2,3123
23,4,3,5228
23,4,4,5363
23,4,5,8310
23,4,6,9971
23,4,7,11123
23,4,8,12703
23,4,9,13258
23,4,10,15260
24,1,1,2077
24,1,2,4512
24,1,3,6999
24,1,4,7915
24,1,5,9154
24,1,6,12099
24,1,7,14126
24,1,8,17442
24,1,9,18145
24,1,10,20697
24,2,1,847
24,2,2,2198
24,2,3,3098
24,2,4,3632
24,2,5,5189
24,2,6,5417
24,2,7,6255
24,2,8,7385
24,2,9,8153
24,2,10,9319
24,3,1,7833
24,3,2,20364
24,3,3,23977
24,3,4,39540
24,3,5,43788
24,3,6,57252
24,3,7,60468
24,3,8,66755
24,3,9,80835
24,3,10,88454
24,4,1,1018
24,4,2,2235
24,4,3,3325
24,4,4,4281
24,4,5,5419
24,4,6,5645
24,4,7,6740
24,4,8,8225
24,4,9,9135
24,4,10,9908
25,1,1,2866
25,1,2,6990
25,1,3,9450
25,1,4,12622
25,1,5,17958
25,1,6,20118
25,1,7,23356
25,1,8,27337
25,1,9,32489
25,1,10,35404
25,2,1,3054
25,2,2,5262
25,2,3,10011
25,2,4,11989
25,2,5,16000
25,2,6,20119
25,2,7,22930
25,2,8,24719
25,2,9,27722
25,2,10,30723
25,3,1,20227
25,3,2,47727
25,3,3,64574
25,3,4,87038
25,3,5,112984
25,3,6,117349
25,3,7,144844
25,3,8,162194
25,3,9,184915
25,3,10,213599
25,4,1,5952
25,4,2,10648
25,4,3,13826
25,4,4,22303
25,4,5,27976
25,4,6,32614
25,4,7,34025
25,4,8,41599
25,4,9,44272
25,4,10,50804
26,1,1,453
26,1,2,882
26,1,3,1465
26,1,4,1876
26,1,5,2352
26,1,6,2744
26,1,7,3249
26,1,8,3557
26,1,9,3892
26,1,10,4341
26,2,1,351
26,2,2,642
26,2,3,903
26,2,4,1364
26,2,5,1385
26,2,6,1685
26,2,7,1965
26,2,8,2365
26,2,9,2737
26,2,10,2994
26,3,1,3058
26,3,2,5745
26,3,3,8945
26,3,4,10587
26,3,5,13183
26,3,6,18619
26,3,7,21260
26,3,8,23508
26,3,9,25750
26,3,10,29430
26,4,1,410
26,4,2,878
26,4,3,1067
26,4,4,1668
26,4,5,1909
26,4,6,2376
26,4,7,2813
26,4,8,3380
26,4,9,3540
26,4,10,4063
27,1,1,973
27,1,2,2510
27,1,3,3802
27,1,4,4989
27,1,5,4979
27,1,6,6864
27,1,7,7416
27,1,8,8984
27,1,9,10398
27,1,10,11130
27,2,1,840
27,2,2,1621
27,2,3,2474
27,2,4,2594
27,2,5,3949
27,2,6,4441
27,2,7,4965
27,2,8,5801
27,2,9,6598
27,2,10,7326
27,3,1,10545
27,3,2,16775
27,3,3,28829
27,3,4,43937
27,3,5,44709
27,3,6,56575
27,3,7,71785
27,3,8,77122
27,3,9,92322
27,3,10,100687
27,4,1,844
27,4,2,1728
27,4,3,2336
27,4,4,2655
27,4,5,3614
27,4,6,4259
27,4,7,5064
27,4,8,5902
27,4,9,6928
27,4,10,7619
28,1,1,1609
28,1,2,3563
28,1,3,5537
28,1,4,8165
28,1,5,9648
28,1,6,10862
28,1,7,13313
28,1,8,15115
28,1,9,17160
28,1,10,18844
28,2,1,1515
28,2,2,3793
28,2,3,5474
28,2,4,6237
28,2,5,9069
28,2,6,10824
28,2,7,11471
28,2,8,14185
28,2,9,16120
28,2,10,17658
28,3,1,5954
28,3,2,15284
28,3,3,22823
28,3,4,28015
28,3,5,34935
28,3,6,41182
28,3,7,52757
28,3,8,59714
28,3,9,62530
28,3,10,70580
28,4,1,903
28,4,2,1639
28,4,3,2302
28,4,4,3428
28,4,5,4520
28,4,6,4497
28,4,7,5585
28,4,8,6436
28,4,9,7286
28,4,10,8292
29,1,1,936
29,1,2,2164
29,1,3,2935
29,1,4,4441
29,1,5,5306
29,1,6,5617
29,1,7,6800
29,1,8,7687
29,1,9,9278
29,1,10,10052
29,2,1,245
29,2,2,493
29,2,3,950
29,2,4,1082
29,2,5,1481
29,2,6,1939
29,2,7,2063
29,2,8,2453
29,2,9,2687
29,2,10,2941
29,3,1,7500
29,3,2,14229
29,3,3,19330
29,3,4,26516
29,3,5,35722
29,3,6,41136
29,3,7,44314
29,3,8,51482
29,3,9,61824
29,3,10,67095
29,4,1,550
29,4,2,1154
29,4,3,1631
29,4,4,2278
29,4,5,2353
29,4,6,3080
29,4,7,3709
29,4,8,3925
29,4,9,4724
29,4,10,5106
30,1,1,1160
30,1,2,2122
30,1,3,3732
30,1,4,4942
30,1,5,6359
30,1,6,7185
30,1,7,8278
30,1,8,9841
30,1,9,11955
30,1,10,12804
30,2,1,815
30,2,2,1858
30,2,3,2538
30,2,4,3570
30,2,5,4832
30,2,6,5925
30,2,7,6691
30,2,8,7467
30,2,9,8359
30,2,10,9404
30,3,1,3552
30,3,2,9912
30,3,3,11464
30,3,4,17978
30,3,5,22949
30,3,6,26480
30,3,7,30981
30,3,8,36103
30,3,9,37681
30,3,10,43232
30,4,1,1590
30,4,2,2415
30,4,3,3919
30,4,4,5983
30,4,5,6387
30,4,6,8047
30,4,7,9738
30,4,8,11990
30,4,9,12979
30,4,10,14454
31,1,1,749
31,1,2,1987
31,1,3,2990
31,1,4,3891
31,1,5,4969
31,1,6,5141
31,1,7,6651
31,1,8,7694
31,1,9,8563
31,1,10,9171
31,2,1,529
31,2,2,1070
31,2,3,1654
31,2,4,1889
31,2,5,2927
31,2,6,3389
31,2,7,3580
31,2,8,4487
31,2,9,4987
31,2,10,5364
31,3,1,4448
31,3,2,6510
31,3,3,13343
31,3,4,14778
31,3,5,21421
31,3,6,21507
31,3,7,28204
31,3,8,28927
31,3,9,35050
31,3,10,38431
31,4,1,422
31,4,2,922
31,4,3,1293
31,4,4,1549
31,4,5,1791
31,4,6,2306
31,4,7,2912
31,4,8,3385
31,4,9,3674
31,4,10,3996
32,1,1,1310
32,1,2,2240
32,1,3,3390
32,1,4,5205
32,1,5,5546
32,1,6,6595
32,1,7,8886
32,1,8,9614
32,1,9,10447
32,1,10,11780
32,2,1,728
32,2,2,1262
32,2,3,2190
32,2,4,2366
32,2,5,3078
32,2,6,3527
32,2,7,4530
32,2,8,5251
32,2,9,5734
32,2,10,6328
32,3,1,6522
32,3,2,11520
32,3,3,17539
32,3,4,21419
32,3,5,28278
32,3,6,35948
32,3,7,39304
32,3,8,50671
32,3,9,56136
32,3,10,60275
32,4,1,627
32,4,2,1245
32,4,3,1664
32,4,4,1999
32,4,5,2710
32,4,6,3420
32,4,7,3942
32,4,8,4313
32,4,9,5027
32,4,10,5730
33,1,1,2239
33,1,2,4841
33,1,3,7577
33,1,4,10317
33,1,5,12106
33,1,6,13793
33,1,7,17621
33,1,8,18751
33,1,9,22054
33,1,10,24230
33,2,1,1358
33,2,2,3707
33,2,3,4957
33,2,4,6141
33,2,5,7793
33,2,6,10738
33,2,7,10907
33,2,8,12559
33,2,9,14298
33,2,10,16490
33,3,1,18121
33,3,2,44063
33,3,3,63770
33,3,4,85053
33,3,5,103818
33,3,6,126149
33,3,7,132805
33,3,8,153813
33,3,9,176614
33,3,10,197973
33,4,1,2362
33,4,2,4864
33,4,3,7011
33,4,4,10624
33,4,5,11914
33,4,6,14385
33,4,7,18231
33,4,8,21587
33,4,9,24305
33,4,10,26000
34,1,1,790
34,1,2,1751
34,1,3,2995
34,1,4,3520
34,1,5,4616
34,1,6,5743
34,1,7,6198
34,1,8,7155
34,1,9,7826
34,1,10,8729
34,2,1,517
34,2,2,918
34,2,3,1537
34,2,4,2400
34,2,5,2543
34,2,6,3236
34,2,7,3939
34,2,8,4535
34,2,9,5019
34,2,10,5408
34,3,1,6934
34,3,2,11954
34,3,3,19748
34,3,4,25965
34,3,5,27551
34,3,6,37251
34,3,7,45329
34,3,8,50062
34,3,9,55090
34,3,10,62490
34,4,1,430
34,4,2,863
34,4,3,1280
34,4,4,1565
34,4,5,2225
34,4,6,2855
34,4,7,2930
34,4,8,3717
34,4,9,3935
34,4,10,4436
35,1,1,4091
35,1,2,9173
35,1,3,12496
35,1,4,17468
35,1,5,18755
35,1,6,24596
35,1,7,28103
35,1,8,32287
35,1,9,37541
35,1,10,41676
35,2,1,2367
35,2,2,4012
35,2,3,6057
35,2,4,9666
35,2,5,12522
35,2,6,15069
35,2,7,15396
35,2,8,19878
35,2,9,22064
35,2,10,23758
35,3,1,16640
35,3,2,28395
35,3,3,51912
35,3,4,60342
35,3,5,87790
35,3,6,97206
35,3,7,114591
35,3,8,137822
35,3,9,150012
35,3,10,162940
35,4,1,3857
35,4,2,8103
35,4,3,13136
35,4,4,17719
35,4,5,22201
35,4,6,29678
35,4,7,31458
35,4,8,38423
35,4,9,43005
35,4,10,46128
36,1,1,4862
36,1,2,10264
36,1,3,12635
36,1,4,19949
36,1,5,24610
36,1,6,28112
36,1,7,29762
36,1,8,37178
36,1,9,41068
36,1,10,43954
36,2,1,5055
36,2,2,10102
36,2,3,12594
36,2,4,15926
36,2,5,19524
36,2,6,23735
36,2,7,33037
36,2,8,34553
36,2,9,39965
36,2,10,43911
36,3,1,13101
36,3,2,24279
36,3,3,41475
36,3,4,51085
36,3,5,65289
36,3,6,94048
36,3,7,106170
36,3,8,112391
36,3,9,125445
36,3,10,143073
36,4,1,5944
36,4,2,11423
36,4,3,16421
36,4,4,19571
36,4,5,25042
36,4,6,35134
36,4,7,39628
36,4,8,44917
36,4,9,48170
36,4,10,54453
37,1,1,2056
37,1,2,5180
37,1,3,7131
37,1,4,10274
37,1,5,11413
37,1,6,13540
37,1,7,14745
37,1,8,18452
37,1,9,20908
37,1,10,22609
37,2,1,2830
37,2,2,5607
37,2,3,7998
37,2,4,12355
37,2,5,14352
37,2,6,18050
37,2,7,19990
37,2,8,21766
37,2,9,26788
37,2,10,28884
37,3,1,10204
37,3,2,21576
37,3,3,34190
37,3,4,46143
37,3,5,52804
37,3,6,67265
37,3,7,75069
37,3,8,85393
37,3,9,95355
37,3,10,102049
37,4,1,3304
37,4,2,5753
37,4,3,7818
37,4,4,13097
37,4,5,14363
37,4,6,17908
37,4,7,21239
37,4,8,24649
37,4,9,26232
37,4,10,29979
38,1,1,2586
38,1,2,5007
38,1,3,6325
38,1,4,7691
38,1,5,9827
38,1,6,12618
38,1,7,16115
38,1,8,17527
38,1,9,20292
38,1,10,22279
38,2,1,2869
38,2,2,4874
38,2,3,8990
38,2,4,11270
38,2,5,14415
38,2,6,18634
38,2,7,20604
38,2,8,22774
38,2,9,26606
38,2,10,29668
38,3,1,13581
38,3,2,29619
38,3,3,51785
38,3,4,63952
38,3,5,72530
38,3,6,99315
38,3,7,107197
38,3,8,128609
38,3,9,139152
38,3,10,157912
38,4,1,6035
38,4,2,10379
38,4,3,16398
38,4,4,19309
38,4,5,23128
38,4,6,27823
38,4,7,36043
38,4,8,39618
38,4,9,45155
38,4,10,50786
39,1,1,1017
39,1,2,2437
39,1,3,2679
39,1,4,3805
39,1,5,4731
39,1,6,6235
39,1,7,6793
39,1,8,8426
39,1,9,9023
39,1,10,10400
39,2,1,894
39,2,2,1724
39,2,3,2296
39,2,4,2905
39,2,5,3859
39,2,6,5278
39,2,7,5866
39,2,8,6349
39,2,9,7758
39,2,10,8333
39,3,1,6506
39,3,2,13588
39,3,3,21989
39,3,4,24403
39,3,5,36303
39,3,6,41058
39,3,7,44789
39,3,8,54932
39,3,9,60161
39,3,10,67674
39,4,1,1548
39,4,2,3016
39,4,3,4522
39,4,4,5382
39,4,5,8341
39,4,6,9025
39,4,7,10829
39,4,8,12533
39,4,9,13246
39,4,10,15277
40,1,1,685
40,1,2,1397
40,1,3,1873
40,1,4,2809
40,1,5,3195
40,1,6,4359
40,1,7,4756
40,1,8,5323
40,1,9,6211
