"Candidates","Customers","DistanceCandidateCustomer"
1,198,116.24
1,199,115.25
1,200,111.48
1,201,114.59
1,202,116.54
1,203,125.83
1,204,89.05
1,205,95.39
1,206,122.51
1,207,117.46
1,208,119.8
1,209,123.76
1,210,129.07
1,211,136.91
1,212,140.13
1,213,174.03
1,214,180.01
1,215,147.41
1,216,140.21
1,217,146.09
1,218,162.73
1,219,178
1,220,156.54
1,221,67.6
1,222,70.21
1,223,58.97
1,224,78.67
1,225,182.1
1,226,186.48
1,227,190.81
1,228,198.37
1,229,202.77
1,230,207.01
1,231,209.88
1,232,216.75
1,233,206.56
1,234,195.5
1,235,222.66
1,236,176.93
1,237,171.07
1,238,172.58
1,239,234.71
1,240,223.06
1,241,122.99
1,242,167.98
1,243,172.49
1,244,164.76
1,245,166.95
1,246,174.67
1,247,185.66
1,248,181.26
1,249,179.27
1,250,177.18
1,251,178.14
1,252,175.12
1,253,175.47
1,254,172.93
1,255,166.68
1,256,164.48
1,257,168.56
1,258,168.42
1,259,180.76
1,260,188.21
1,261,174.9
1,262,175.29
1,263,176.38
1,264,179.15
1,265,169.19
1,266,166.66
1,267,202.77
1,268,239.24
1,269,180.21
1,270,176.96
1,271,176
1,272,207.46
1,273,198.88
1,274,192.85
1,275,189.46
1,276,185.36
1,277,179.52
1,278,171.02
1,279,159.95
1,280,153.93
1,281,196.34
1,282,206.86
1,283,202.04
1,284,213.7
1,285,261.25
1,286,277.31
1,287,274.56
1,288,92.74
1,289,94.95
1,290,105.47
1,291,106.68
1,292,95.58
1,293,88.84
1,294,88.68
1,295,87.66
1,296,87.32
1,297,87.34
1,298,107.17
1,299,113.47
1,300,98.91
1,301,84.37
1,302,79.6
1,303,78.17
1,304,141.36
1,305,143.79
1,306,147.72
1,307,145.65
1,308,140.83
1,309,138.19
1,310,136.25
1,311,146.28
1,312,151.34
1,313,157.88
1,314,145.09
1,315,148.68
1,316,153.11
1,317,154.52
1,318,154.4
1,319,151.61
1,320,157.2
1,321,159.06
1,322,157.53
1,323,157.63
1,324,159.63
1,325,158.12
1,326,159.65
1,327,162.86
1,328,163.07
1,329,164.95
1,330,168.27
1,331,170.72
1,332,177.93
1,333,176.03
1,334,172.06
1,335,212.9
1,336,205.46
1,337,199.04
1,338,200.38
1,339,175.53
1,340,177.81
1,341,174.2
1,342,183.31
1,343,241.5
1,344,210.37
1,345,194.28
1,346,193.09
1,347,172.38
1,348,157.73
1,349,177.43
1,350,164.78
1,351,146.54
1,352,172.39
1,353,184.84
1,354,227.62
1,355,258.28
1,356,250.53
1,357,250.8
1,358,243.23
1,359,242.38
1,360,262.01
1,361,255.48
1,362,254.12
1,363,253.33
1,364,214.98
1,365,208.7
1,366,210.12
1,367,198.67
1,368,195.49
1,369,230.91
1,370,225.52
1,371,208.27
1,372,214.31
1,373,214.87
1,374,200.93
1,375,197.38
1,376,209.45
1,377,212.39
1,378,207.76
1,379,231.21
1,380,242.25
1,381,224.33
1,382,185.13
1,383,83.21
1,384,83.74
1,385,98.84
1,386,103.55
1,387,107.68
1,388,111.35
1,389,103.59
1,390,83.78
1,391,89.94
1,392,72.48
1,393,67.07
1,394,63.53
1,395,68.09
1,396,74.32
1,397,101.67
1,398,96.24
1,399,121.88
1,400,103.28
1,401,123.98
1,402,103.23
1,403,97.58
1,404,87.21
1,405,85.59
1,406,81.18
1,407,77.22
1,408,76.98
1,409,135.6
1,410,136.05
1,411,139.43
1,412,148.17
1,413,140.9
1,414,154.21
1,415,191.23
1,416,180.68
1,417,176.73
1,418,179.95
1,419,184.23
1,420,187.24
1,421,184.42
1,422,207.96
1,423,224.37
1,424,170.63
1,425,177.3
1,426,156.2
1,427,150.33
1,428,158.65
1,429,157.56
1,430,169.14
1,431,161.91
1,432,163.43
1,433,172.17
1,434,175.59
1,435,162.5
1,436,175
1,437,172.34
1,438,162.12
1,439,174.67
1,440,184.47
2,1,1.53
2,2,0
2,3,4.55
2,4,9.08
2,5,10.05
2,6,3.66
2,7,3.79
2,8,8.15
2,9,4.49
2,10,5.8
2,11,2.41
2,12,1.73
2,13,29.85
2,14,20.17
2,15,10.53
2,16,29.7
2,17,33.01
2,18,47.24
2,19,47.55
2,20,66.84
2,21,60.32
2,22,14.17
2,23,18.19
2,24,29.53
2,25,40.16
2,26,45.32
2,27,46.55
2,28,18.21
2,29,28.43
2,30,34.27
2,31,40.24
2,32,52.4
2,33,65.22
2,34,65.78
2,35,67.88
2,36,65.34
2,37,64.59
2,38,67.21
2,39,68.36
2,40,60.53
2,41,51.82
2,42,39.25
2,43,36.11
2,44,53.87
2,45,212.12
2,46,210.13
2,47,195.66
2,48,183.81
2,49,223.33
2,50,235.17
2,51,229.3
2,52,243.97
2,53,232.93
2,54,190.5
2,55,206.43
2,56,215.5
2,57,191.04
2,58,198.64
2,59,120.69
2,60,120.4
2,61,119.91
2,62,117.48
2,63,119.73
2,64,121.24
2,65,122.32
2,66,122
2,67,121.59
2,68,127.45
2,69,123.33
2,70,117.82
2,71,125.35
2,72,123.04
2,73,135.09
2,74,129.94
2,75,129.32
2,76,129.8
2,77,130.88
2,78,128.47
2,79,134.48
2,80,132.33
2,81,135.67
2,82,131.51
2,83,129.34
2,84,130.92
2,85,120.67
2,86,117.15
2,87,113.44
2,88,111.71
2,89,146.45
2,90,138.68
2,91,137.58
2,92,140.65
2,93,138.51
2,94,142.57
2,95,137.29
2,96,142.21
2,97,153.05
2,98,149.76
2,99,145.69
2,100,154.79
2,101,152.75
2,102,150.45
2,103,144.07
2,104,139.73
2,105,129.27
2,106,127.95
2,107,118.2
2,108,119.14
2,109,120.08
2,110,121.42
2,111,123.75
2,112,128.69
2,113,125.77
2,114,123.22
2,115,124.08
2,116,129.88
2,117,122.94
2,118,126.52
2,119,123.65
2,120,121.34
2,121,117.36
2,122,116.68
2,123,121.08
2,124,114.78
2,125,112.5
2,126,108.79
2,127,111.82
2,128,116.63
2,129,124.62
2,130,132.72
2,131,125.1
2,132,138.02
2,133,122.71
2,134,144.87
2,135,145.49
2,136,146.09
2,137,144.76
2,138,145.76
2,139,148.38
2,140,147.02
2,141,149.14
2,142,149.8
2,143,148.52
2,144,146.72
2,145,143.07
2,146,144.51
2,147,148.69
2,148,143.91
2,149,145.44
2,150,142.32
2,151,141.15
2,152,145.32
2,153,149.7
2,154,148.91
2,155,150.73
2,156,149.89
2,157,149.3
2,158,151.68
2,159,149.03
2,160,150.61
2,161,151.11
2,162,150.99
2,163,148.83
2,164,148.75
2,165,136.79
2,166,144.01
2,167,133.7
2,168,139.41
2,169,132.56
2,170,133.54
2,171,139.77
2,172,144.79
2,173,147.71
2,174,147.53
2,175,151.33
2,176,153.5
2,177,151.8
2,178,154.7
2,179,154.43
2,180,149.18
2,181,149.96
2,182,144.88
2,183,153.27
2,184,298.73
2,185,300.67
2,186,264.69
2,187,269.55
2,188,283.61
2,189,271.93
2,190,284.6
2,191,300.01
2,192,327.2
2,193,105.15
2,194,104.84
2,195,106.17
2,196,119.33
2,197,113.25
2,198,116.18
2,199,115.19
2,200,111.42
2,201,114.53
2,202,116.48
2,203,125.77
2,204,88.99
2,205,99.17
2,206,122.45
2,207,117.4
2,208,119.74
2,209,123.69
2,210,129.01
2,211,136.85
2,212,140.07
2,213,173.97
2,214,179.95
2,215,147.34
2,216,140.15
2,217,146.03
2,218,162.67
2,219,177.94
2,220,156.48
2,221,67.54
2,222,70.15
2,223,58.91
2,224,78.61
2,225,182.04
2,226,186.42
2,227,190.75
2,228,198.31
2,229,202.71
2,230,206.95
2,231,209.82
2,232,216.69
2,233,206.5
2,234,195.44
2,235,222.6
2,236,176.87
2,237,171
2,238,172.52
2,239,234.65
2,240,223
2,241,122.93
2,242,168.9
2,243,173.41
2,244,165.68
2,245,167.87
2,246,175.58
2,247,186.57
2,248,182.18
2,249,180.19
2,250,178.1
2,251,179.05
2,252,176.03
2,253,176.39
2,254,173.85
2,255,167.6
2,256,165.39
2,257,169.48
2,258,169.34
2,259,181.68
2,260,189.13
2,261,175.82
2,262,176.21
2,263,177.3
2,264,180.07
2,265,170.11
2,266,167.57
2,267,203.69
2,268,240.15
2,269,181.12
2,270,177.88
2,271,176.92
2,272,207.4
2,273,198.82
2,274,192.79
2,275,189.4
2,276,185.3
2,277,179.45
2,278,170.96
2,279,159.89
2,280,153.87
2,281,196.28
2,282,206.8
2,283,201.97
2,284,213.64
2,285,261.19
2,286,277.25
2,287,274.5
2,288,93.66
2,289,95.87
2,290,106.38
2,291,107.59
2,292,96.5
2,293,89.75
2,294,89.6
2,295,88.57
2,296,88.24
2,297,88.25
2,298,108.09
2,299,114.38
2,300,99.83
2,301,85.29
2,302,80.52
2,303,79.09
2,304,142.28
2,305,144.71
2,306,148.64
2,307,146.57
2,308,141.74
2,309,139.11
2,310,137.17
2,311,147.2
2,312,152.25
2,313,158.8
2,314,146.01
2,315,149.6
2,316,154.03
2,317,155.44
2,318,155.32
2,319,152.53
2,320,158.12
2,321,159.97
2,322,158.44
2,323,158.54
2,324,160.54
2,325,159.04
2,326,160.57
2,327,163.78
2,328,163.99
2,329,165.86
2,330,169.19
2,331,171.64
2,332,178.85
2,333,176.95
2,334,172.98
2,335,213.82
2,336,206.37
2,337,199.95
2,338,201.29
2,339,176.45
2,340,178.73
2,341,175.12
2,342,184.23
2,343,242.42
2,344,211.29
2,345,195.19
2,346,194.01
2,347,173.3
2,348,158.65
2,349,178.35
2,350,165.7
2,351,147.46
2,352,173.31
2,353,185.75
2,354,228.54
2,355,259.2
2,356,251.45
2,357,251.71
2,358,244.15
2,359,243.3
2,360,262.93
2,361,256.4
2,362,255.04
2,363,254.25
2,364,215.9
2,365,210.17
2,366,211.59
2,367,200.13
2,368,196.96
2,369,232.37
2,370,226.99
2,371,209.74
2,372,215.78
2,373,216.34
2,374,202.4
2,375,198.85
2,376,210.92
2,377,213.85
2,378,209.23
2,379,232.67
2,380,243.17
2,381,225.25
2,382,186.59
2,383,84.13
2,384,84.66
2,385,99.76
2,386,104.47
2,387,108.6
2,388,112.26
2,389,104.51
2,390,84.7
2,391,90.85
2,392,73.39
2,393,67.98
2,394,64.44
2,395,69
2,396,75.24
2,397,102.59
2,398,97.15
2,399,122.8
2,400,104.2
2,401,124.9
2,402,104.69
2,403,99.04
2,404,88.68
2,405,89.37
2,406,82.64
2,407,78.69
2,408,78.77
2,409,137.07
2,410,137.52
2,411,139.36
2,412,149.63
2,413,142.36
2,414,154.15
2,415,192.7
2,416,182.14
2,417,178.19
2,418,181.42
2,419,185.69
2,420,188.7
2,421,185.88
2,422,207.9
2,423,224.31
2,424,171.55
2,425,178.22
2,426,157.11
2,427,151.25
2,428,159.57
2,429,158.48
2,430,170.06
2,431,162.83
2,432,164.35
2,433,173.09
2,434,176.51
2,435,163.41
2,436,175.92
2,437,173.26
2,438,163.03
2,439,175.58
2,440,185.39
3,1,3.82
3,2,4.39
3,3,0
3,4,8.83
3,5,9.8
3,6,5.14
3,7,5.83
3,8,10.99
3,9,8.89
3,10,10
3,11,6.25
3,12,5.47
3,13,26.05
3,14,22.88
3,15,13.24
3,16,32.41
3,17,35.72
3,18,49.95
3,19,50.26
3,20,73.32
3,21,66.8
3,22,10.37
3,23,22.4
3,24,33.74
3,25,44.37
3,26,54.26
3,27,59.76
3,28,24.68
3,29,34.9
3,30,43.21
3,31,46.71
3,32,58.87
3,33,71.7
3,34,61.98
3,35,64.08
3,36,61.54
3,37,60.79
3,38,63.42
3,39,64.57
3,40,56.73
3,41,48.02
3,42,35.46
3,43,32.31
3,44,50.08
3,45,208.32
3,46,206.33
3,47,191.87
3,48,180.02
3,49,219.54
3,50,231.37
3,51,225.51
3,52,240.18
3,53,229.14
3,54,186.71
3,55,202.63
3,56,211.71
3,57,187.25
3,58,194.84
3,59,116.9
3,60,116.6
3,61,116.11
3,62,113.69
3,63,115.93
3,64,117.45
3,65,118.53
3,66,118.2
3,67,117.8
3,68,123.66
3,69,119.54
3,70,114.02
3,71,121.56
3,72,119.25
3,73,131.3
3,74,126.15
3,75,125.52
3,76,126.01
3,77,127.08
3,78,124.67
3,79,130.69
3,80,128.54
3,81,131.87
3,82,127.71
3,83,125.54
3,84,127.12
3,85,116.87
3,86,113.35
3,87,109.65
3,88,107.91
3,89,142.66
3,90,134.89
3,91,133.78
3,92,136.85
3,93,134.71
3,94,138.78
3,95,133.5
3,96,138.42
3,97,149.26
3,98,145.96
3,99,141.9
3,100,151
3,101,148.96
3,102,146.66
3,103,140.28
3,104,135.94
3,105,125.47
3,106,124.15
3,107,114.41
3,108,115.35
3,109,116.28
3,110,117.63
3,111,119.96
3,112,124.9
3,113,121.98
3,114,119.42
3,115,120.28
3,116,126.09
3,117,119.14
3,118,122.73
3,119,119.85
3,120,117.55
3,121,113.56
3,122,112.89
3,123,117.29
3,124,110.99
3,125,108.71
3,126,105
3,127,108.02
3,128,112.84
3,129,120.82
3,130,128.93
3,131,121.31
3,132,134.22
3,133,118.91
3,134,141.08
3,135,141.69
3,136,142.3
3,137,140.97
3,138,141.96
3,139,144.58
3,140,143.23
3,141,145.35
3,142,146
3,143,144.72
3,144,142.92
3,145,139.27
3,146,140.72
3,147,144.89
3,148,140.12
3,149,141.64
3,150,138.53
3,151,137.35
3,152,141.52
3,153,145.9
3,154,145.12
3,155,146.93
3,156,146.1
3,157,145.51
3,158,147.88
3,159,145.23
3,160,146.81
3,161,147.32
3,162,147.2
3,163,145.03
3,164,144.95
3,165,133
3,166,140.22
3,167,129.91
3,168,135.61
3,169,128.77
3,170,129.75
3,171,135.98
3,172,141
3,173,143.92
3,174,143.74
3,175,147.53
3,176,149.7
3,177,148.01
3,178,150.91
3,179,150.63
3,180,145.39
3,181,146.16
3,182,141.09
3,183,149.47
3,184,305.21
3,185,307.15
3,186,271.16
3,187,276.02
3,188,290.09
3,189,278.4
3,190,291.07
3,191,306.48
3,192,333.67
3,193,111.62
3,194,111.31
3,195,112.64
3,196,125.8
3,197,119.72
3,198,122.65
3,199,121.66
3,200,117.9
3,201,121
3,202,122.95
3,203,132.24
3,204,95.47
3,205,99.56
3,206,128.93
3,207,123.87
3,208,126.21
3,209,130.17
3,210,135.48
3,211,143.32
3,212,146.54
3,213,180.45
3,214,186.43
3,215,153.82
3,216,146.63
3,217,152.5
3,218,169.15
3,219,184.41
3,220,162.95
3,221,74.01
3,222,76.63
3,223,65.39
3,224,85.08
3,225,188.51
3,226,192.89
3,227,197.22
3,228,204.78
3,229,209.18
3,230,213.42
3,231,216.29
3,232,223.16
3,233,212.97
3,234,201.91
3,235,229.08
3,236,183.34
3,237,177.48
3,238,178.99
3,239,241.13
3,240,229.47
3,241,129.4
3,242,165.11
3,243,169.61
3,244,161.88
3,245,164.07
3,246,171.79
3,247,182.78
3,248,178.38
3,249,176.39
3,250,174.3
3,251,175.26
3,252,172.24
3,253,172.59
3,254,170.06
3,255,163.8
3,256,161.6
3,257,165.69
3,258,165.55
3,259,177.89
3,260,185.34
3,261,172.02
3,262,172.41
3,263,173.51
3,264,176.27
3,265,166.31
3,266,163.78
3,267,199.89
3,268,236.36
3,269,177.33
3,270,174.09
3,271,173.13
3,272,213.87
3,273,205.29
3,274,199.26
3,275,195.88
3,276,191.77
3,277,185.93
3,278,177.43
3,279,166.36
3,280,160.34
3,281,202.75
3,282,213.27
3,283,208.45
3,284,220.11
3,285,267.67
3,286,283.73
3,287,280.97
3,288,89.87
3,289,92.08
3,290,102.59
3,291,103.8
3,292,92.71
3,293,85.96
3,294,85.81
3,295,84.78
3,296,84.44
3,297,84.46
3,298,104.3
3,299,110.59
3,300,96.03
3,301,81.5
3,302,76.72
3,303,75.3
3,304,138.48
3,305,140.91
3,306,144.84
3,307,142.78
3,308,137.95
3,309,135.32
3,310,133.37
3,311,143.41
3,312,148.46
3,313,155
3,314,142.21
3,315,145.81
3,316,150.23
3,317,151.65
3,318,151.53
3,319,148.73
3,320,154.33
3,321,156.18
3,322,154.65
3,323,154.75
3,324,156.75
3,325,155.25
3,326,156.78
3,327,159.98
3,328,160.19
3,329,162.07
3,330,165.4
3,331,167.84
3,332,175.05
3,333,173.16
3,334,169.18
3,335,210.02
3,336,202.58
3,337,196.16
3,338,197.5
3,339,172.65
3,340,174.94
3,341,171.32
3,342,180.43
3,343,238.62
3,344,207.5
3,345,191.4
3,346,190.21
3,347,169.5
3,348,154.85
3,349,174.56
3,350,161.9
3,351,143.66
3,352,169.51
3,353,181.96
3,354,224.75
3,355,255.41
3,356,247.65
3,357,247.92
3,358,240.36
3,359,239.51
3,360,259.13
3,361,252.61
3,362,251.25
3,363,250.45
3,364,212.1
3,365,212.88
3,366,214.29
3,367,202.84
3,368,199.67
3,369,235.08
3,370,229.7
3,371,212.45
3,372,218.49
3,373,219.04
3,374,205.11
3,375,201.56
3,376,213.63
3,377,216.56
3,378,211.94
3,379,235.38
3,380,239.37
3,381,221.45
3,382,189.3
3,383,80.33
3,384,80.87
3,385,95.96
3,386,100.67
3,387,104.81
3,388,108.47
3,389,100.72
3,390,80.9
3,391,87.06
3,392,69.6
3,393,64.19
3,394,60.65
3,395,65.21
3,396,71.44
3,397,98.8
3,398,93.36
3,399,119
3,400,100.4
3,401,121.1
3,402,107.4
3,403,101.75
3,404,91.39
3,405,89.77
3,406,85.35
3,407,81.4
3,408,81.16
3,409,139.78
3,410,140.23
3,411,145.84
3,412,152.34
3,413,145.07
3,414,160.62
3,415,195.41
3,416,184.85
3,417,180.9
3,418,184.13
3,419,188.4
3,420,191.41
3,421,188.59
3,422,214.37
3,423,230.78
3,424,167.75
3,425,174.43
3,426,153.32
3,427,147.45
3,428,155.77
3,429,154.68
3,430,166.27
3,431,159.04
3,432,160.55
3,433,169.29
3,434,172.72
3,435,159.62
3,436,172.12
3,437,169.46
3,438,159.24
3,439,171.79
3,440,181.59
4,1,5.34
4,2,8.69
4,3,8.9
4,4,0
4,5,2.73
4,6,5.5
4,7,8.36
4,8,10.94
4,9,12.86
4,10,18
4,11,8.35
4,12,7.19
4,13,27.69
4,14,14.92
4,15,5.27
4,16,24.44
4,17,27.75
4,18,40.59
4,19,42.3
4,20,67.67
4,21,61.15
4,22,11.73
4,23,27.91
4,24,39.25
4,25,49.88
4,26,48.61
4,27,54.11
4,28,19.04
4,29,29.25
4,30,37.56
4,31,41.06
4,32,53.22
4,33,66.05
4,34,63.62
4,35,65.72
4,36,63.18
4,37,62.43
4,38,65.05
4,39,66.2
4,40,58.37
4,41,49.66
4,42,37.09
4,43,33.95
4,44,51.71
4,45,209.96
4,46,207.97
4,47,193.5
4,48,181.65
4,49,221.17
4,50,233.01
4,51,227.14
4,52,241.81
4,53,230.77
4,54,188.34
4,55,204.27
4,56,213.34
4,57,188.88
4,58,196.48
4,59,118.53
4,60,118.24
4,61,117.75
4,62,115.32
4,63,117.57
4,64,119.08
4,65,120.17
4,66,119.84
4,67,119.43
4,68,125.29
4,69,121.17
4,70,115.66
4,71,123.19
4,72,120.88
4,73,132.93
4,74,127.78
4,75,127.16
4,76,127.64
4,77,128.72
4,78,126.31
4,79,132.32
4,80,130.17
4,81,133.51
4,82,129.35
4,83,127.18
4,84,128.76
4,85,118.51
4,86,114.99
4,87,111.29
4,88,109.55
4,89,144.29
4,90,136.52
4,91,135.42
4,92,138.49
4,93,136.35
4,94,140.41
4,95,135.13
4,96,140.05
4,97,150.89
4,98,147.6
4,99,143.53
4,100,152.63
4,101,150.59
4,102,148.29
4,103,141.92
4,104,137.57
4,105,127.11
4,106,125.79
4,107,116.05
4,108,116.98
4,109,117.92
4,110,119.26
4,111,121.59
4,112,126.53
4,113,123.62
4,114,121.06
4,115,121.92
4,116,127.72
4,117,120.78
4,118,124.36
4,119,121.49
4,120,119.18
4,121,115.2
4,122,114.52
4,123,118.92
4,124,112.62
4,125,110.34
4,126,106.63
4,127,109.66
4,128,114.47
4,129,122.46
4,130,130.56
4,131,122.94
4,132,135.86
4,133,120.55
4,134,142.71
4,135,143.33
4,136,143.93
4,137,142.6
4,138,143.6
4,139,146.22
4,140,144.86
4,141,146.98
4,142,147.64
4,143,146.36
4,144,144.56
4,145,140.91
4,146,142.35
4,147,146.53
4,148,141.75
4,149,143.28
4,150,140.16
4,151,138.99
4,152,143.16
4,153,147.54
4,154,146.75
4,155,148.57
4,156,147.74
4,157,147.14
4,158,149.52
4,159,146.87
4,160,148.45
4,161,148.95
4,162,148.83
4,163,146.67
4,164,146.59
4,165,134.63
4,166,141.85
4,167,131.55
4,168,137.25
4,169,130.4
4,170,131.38
4,171,137.61
4,172,142.63
4,173,145.55
4,174,145.37
4,175,149.17
4,176,151.34
4,177,149.64
4,178,152.54
4,179,152.27
4,180,147.02
4,181,147.8
4,182,142.72
4,183,151.11
4,184,298.88
4,185,300.82
4,186,264.83
4,187,269.7
4,188,283.76
4,189,272.08
4,190,284.75
4,191,300.16
4,192,327.34
4,193,106.44
4,194,104.64
4,195,107.46
4,196,120.62
4,197,114.55
4,198,117.47
4,199,116.48
4,200,112.72
4,201,115.82
4,202,117.77
4,203,127.06
4,204,89.82
4,205,91.6
4,206,123.75
4,207,118.7
4,208,121.03
4,209,124.99
4,210,130.3
4,211,138.14
4,212,141.37
4,213,175.27
4,214,181.25
4,215,148.64
4,216,141.45
4,217,147.32
4,218,163.97
4,219,179.24
4,220,157.77
4,221,68.36
4,222,70.98
4,223,59.74
4,224,79.43
4,225,182.19
4,226,186.57
4,227,190.9
4,228,198.45
4,229,202.86
4,230,207.1
4,231,209.97
4,232,216.84
4,233,206.65
4,234,195.59
4,235,222.75
4,236,178.16
4,237,172.3
4,238,173.81
4,239,234.8
4,240,223.15
4,241,123.08
4,242,166.74
4,243,171.25
4,244,163.52
4,245,165.71
4,246,173.42
4,247,184.41
4,248,180.02
4,249,178.03
4,250,175.94
4,251,176.89
4,252,173.87
4,253,174.23
4,254,171.69
4,255,165.44
4,256,163.23
4,257,167.32
4,258,167.18
4,259,179.52
4,260,186.97
4,261,173.66
4,262,174.05
4,263,175.14
4,264,177.91
4,265,167.95
4,266,165.42
4,267,201.53
4,268,237.99
4,269,178.96
4,270,175.72
4,271,174.76
4,272,208.7
4,273,200.11
4,274,194.08
4,275,190.7
4,276,186.59
4,277,180.75
4,278,172.25
4,279,161.18
4,280,155.17
4,281,197.57
4,282,208.09
4,283,203.27
4,284,214.93
4,285,262.49
4,286,278.55
4,287,275.8
4,288,91.5
4,289,93.71
4,290,104.23
4,291,105.43
4,292,94.34
4,293,87.59
4,294,87.44
4,295,86.41
4,296,86.08
4,297,86.09
4,298,105.93
4,299,112.22
4,300,97.67
4,301,83.13
4,302,78.36
4,303,76.93
4,304,140.12
4,305,142.55
4,306,146.48
4,307,144.41
4,308,139.58
4,309,136.95
4,310,135.01
4,311,145.04
4,312,150.09
4,313,156.64
4,314,143.85
4,315,147.44
4,316,151.87
4,317,153.28
4,318,153.16
4,319,150.37
4,320,155.96
4,321,157.81
4,322,156.28
4,323,156.38
4,324,158.38
4,325,156.88
4,326,158.41
4,327,161.62
4,328,161.83
4,329,163.7
4,330,167.03
4,331,169.48
4,332,176.69
4,333,174.79
4,334,170.82
4,335,211.66
4,336,204.21
4,337,197.8
4,338,199.13
4,339,174.29
4,340,176.57
4,341,172.96
4,342,182.07
4,343,240.26
4,344,209.13
4,345,193.04
4,346,191.85
4,347,171.14
4,348,156.49
4,349,176.19
4,350,163.54
4,351,145.3
4,352,171.15
4,353,169
4,354,226.38
4,355,257.04
4,356,249.29
4,357,249.55
4,358,241.99
4,359,241.14
4,360,260.77
4,361,254.24
4,362,252.88
4,363,252.09
4,364,213.74
4,365,204.92
4,366,206.33
4,367,194.88
4,368,191.7
4,369,227.12
4,370,221.73
4,371,204.48
4,372,210.52
4,373,211.08
4,374,197.15
4,375,193.6
4,376,205.66
4,377,208.6
4,378,203.97
4,379,227.42
4,380,241.01
4,381,223.09
4,382,181.34
4,383,81.97
4,384,82.5
4,385,97.6
4,386,102.31
4,387,106.44
4,388,110.11
4,389,102.35
4,390,82.54
4,391,88.69
4,392,71.23
4,393,65.83
4,394,62.28
4,395,66.84
4,396,73.08
4,397,100.43
4,398,94.99
4,399,120.64
4,400,102.04
4,401,109.35
4,402,99.44
4,403,93.79
4,404,83.43
4,405,81.8
4,406,77.39
4,407,73.44
4,408,73.2
4,409,131.81
4,410,132.26
4,411,139.51
4,412,144.38
4,413,137.11
4,414,154.3
4,415,187.45
4,416,176.89
4,417,172.94
4,418,176.16
4,419,180.44
4,420,183.45
4,421,180.63
4,422,208.05
4,423,224.46
4,424,169.39
4,425,176.06
4,426,154.95
4,427,149.09
4,428,157.41
4,429,156.32
4,430,167.9
