"Candidates","Suppliers","CostCandidateSupplier"
15,23,0.02805
15,24,0.120614
15,25,0.245736
15,26,0.063163
15,27,0.048096
15,28,0.050997
15,29,0.080323
15,30,0.057768
15,31,0.176112
15,32,0.136555
15,33,0.307166
15,34,0.38039
15,35,0.048477
15,36,0.044507
15,37,0.152467
15,38,0.152568
15,39,0.304027
15,40,0.062889
15,41,0.221429
15,42,0.217022
15,43,0.047153
15,44,0.179424
15,45,0.098928
15,46,0.002253
15,47,0.017842
15,48,0.022648
15,49,0.143093
15,50,0.172469
15,51,0.128909
15,52,0.050879
15,53,0.212256
16,1,0.063551
16,2,0.059237
16,3,0.221328
16,4,0.027734
16,5,0.211507
16,6,0.282499
16,7,0.022156
16,8,0.266472
16,9,0.036722
16,10,0.039538
16,11,0.074311
16,12,0.089654
16,13,0.139349
16,14,0.035179
16,15,0.104688
16,16,0.030758
16,17,0.137995
16,18,0.083693
16,19,0.071712
16,20,0.078293
16,21,0.02987
16,22,0.135158
16,23,0.029041
16,24,0.124459
16,25,0.249595
16,26,0.064154
16,27,0.049088
16,28,0.051989
16,29,0.084182
16,30,0.05876
16,31,0.179971
16,32,0.140414
16,33,0.282787
16,34,0.365141
16,35,0.049469
16,36,0.045499
16,37,0.156326
16,38,0.128189
16,39,0.307886
16,40,0.06388
16,41,0.225288
16,42,0.220882
16,43,0.048141
16,44,0.183283
16,45,0.102787
16,46,0.009346
16,47,0.028973
16,48,0.018148
16,49,0.118714
16,50,0.176328
16,51,0.132768
16,52,0.05187
16,53,0.216115
17,1,0.062167
17,2,0.055278
17,3,0.215942
17,4,0.022838
17,5,0.199253
17,6,0.270245
17,7,0.019007
17,8,0.254218
17,9,0.033574
17,10,0.036389
17,11,0.071162
17,12,0.101851
17,13,0.133963
17,14,0.059731
17,15,0.092434
17,16,0.027609
17,17,0.125741
17,18,0.071438
17,19,0.059458
17,20,0.066038
17,21,0.026721
17,22,0.12289
17,23,0.024734
17,24,0.112205
17,25,0.237341
17,26,0.061006
17,27,0.045939
17,28,0.04884
17,29,0.071928
17,30,0.055611
17,31,0.167717
17,32,0.12816
17,33,0.277416
17,34,0.349733
17,35,0.04632
17,36,0.04235
17,37,0.144072
17,38,0.122818
17,39,0.295632
17,40,0.060732
17,41,0.213034
17,42,0.208627
17,43,0.044992
17,44,0.171029
17,45,0.090518
17,46,0.009753
17,47,0.045936
17,48,0.022503
17,49,0.113342
17,50,0.164074
17,51,0.120514
17,52,0.048722
17,53,0.203846
18,1,0.059474
18,2,0.048958
18,3,0.205459
18,4,0.04333
18,5,0.169157
18,6,0.240149
18,7,0.024346
18,8,0.236909
18,9,0.025019
18,10,0.03411
18,11,0.063429
18,12,0.091382
18,13,0.123494
18,14,0.07799
18,15,0.083218
18,16,0.021575
18,17,0.122501
18,18,0.092218
18,19,0.080237
18,20,0.086832
18,21,0.027728
18,22,0.095544
18,23,0.018415
18,24,0.096437
18,25,0.220032
18,26,0.056555
18,27,0.041795
18,28,0.041107
18,29,0.084168
18,30,0.047878
18,31,0.150394
18,32,0.12492
18,33,0.266933
18,34,0.325138
18,35,0.041873
18,36,0.034721
18,37,0.113976
18,38,0.112334
18,39,0.265536
18,40,0.052999
18,41,0.182938
18,42,0.178531
18,43,0.040545
18,44,0.144792
18,45,0.089323
18,46,0.015096
18,47,0.064195
18,48,0.022881
18,49,0.102859
18,50,0.133978
18,51,0.089525
18,52,0.04427
18,53,0.185126
19,1,0.056654
19,2,0.05422
19,3,0.194486
19,4,0.046397
19,5,0.189619
19,6,0.260611
19,7,0.02536
19,8,0.257371
19,9,0.030277
19,10,0.042746
19,11,0.068687
19,12,0.08041
19,13,0.112522
19,14,0.06421
19,15,0.117173
19,16,0.026836
19,17,0.150466
19,18,0.096163
19,19,0.084197
19,20,0.090778
19,21,0.033078
19,22,0.116021
19,23,0.023676
19,24,0.136944
19,25,0.240494
19,26,0.061816
19,27,0.047053
19,28,0.046365
19,29,0.096653
19,30,0.053136
19,31,0.17087
19,32,0.152885
19,33,0.25596
19,34,0.345614
19,35,0.047131
19,36,0.039979
19,37,0.134438
19,38,0.101362
19,39,0.286013
19,40,0.058256
19,41,0.2034
19,42,0.199008
19,43,0.045802
19,44,0.165254
19,45,0.115258
19,46,0.015951
19,47,0.054691
19,48,0.020061
19,49,0.091886
19,50,0.15444
19,51,0.109987
19,52,0.049532
19,53,0.205589
20,1,0.052022
20,2,0.057109
20,3,0.181181
20,4,0.081562
20,5,0.208224
20,6,0.279216
20,7,0.034395
20,8,0.275976
20,9,0.035057
20,10,0.044148
20,11,0.073467
20,12,0.042408
20,13,0.094478
20,14,0.065822
20,15,0.122285
20,16,0.031613
20,17,0.161568
20,18,0.131328
20,19,0.119347
20,20,0.125928
20,21,0.04211
20,22,0.134611
20,23,0.028453
20,24,0.135504
20,25,0.259099
20,26,0.066596
20,27,0.051833
20,28,0.051145
20,29,0.131818
20,30,0.057916
20,31,0.189461
20,32,0.163987
20,33,0.237931
20,34,0.350424
20,35,0.051911
20,36,0.044759
20,37,0.153043
20,38,0.083333
20,39,0.304603
20,40,0.063037
20,41,0.222005
20,42,0.217598
20,43,0.050583
20,44,0.183859
20,45,0.12839
20,46,0.025112
20,47,0.071194
20,48,0.010523
20,49,0.073843
20,50,0.173045
20,51,0.128592
20,52,0.054309
20,53,0.224194
21,1,0.04975
21,2,0.058316
21,3,0.185861
21,4,0.089669
21,5,0.247968
21,6,0.318946
21,7,0.039805
21,8,0.319709
21,9,0.045266
21,10,0.055385
21,11,0.083679
21,12,0.032083
21,13,0.085637
21,14,0.056434
21,15,0.177955
21,16,0.03828
21,17,0.211248
21,18,0.15696
21,19,0.144979
21,20,0.149544
21,21,0.048696
21,22,0.175982
21,23,0.03512
21,24,0.184867
21,25,0.302832
21,26,0.077829
21,27,0.062045
21,28,0.061357
21,29,0.15745
21,30,0.068128
21,31,0.233194
21,32,0.213682
21,33,0.22909
21,34,0.355104
21,35,0.063148
21,36,0.054967
21,37,0.192787
21,38,0.074491
21,39,0.344347
21,40,0.073245
21,41,0.261749
21,42,0.257342
21,43,0.06182
21,44,0.223603
21,45,0.17604
21,46,0.0227
21,47,0.061805
21,48,0.005339
21,49,0.063778
21,50,0.212789
21,51,0.170208
21,52,0.065546
21,53,0.263938
22,1,0.074688
22,2,0.060502
22,3,0.271138
22,4,0.024682
22,5,0.185213
22,6,0.25619
22,7,0.014223
22,8,0.240178
22,9,0.029963
22,10,0.032782
22,11,0.067551
22,12,0.128952
22,13,0.182707
22,14,0.05341
22,15,0.078394
22,16,0.023998
22,17,0.111686
22,18,0.057384
22,19,0.045403
22,20,0.049982
22,21,0.023114
22,22,0.10885
22,23,0.022281
22,24,0.098165
22,25,0.223301
22,26,0.057394
22,27,0.042328
22,28,0.045233
22,29,0.057874
22,30,0.052
22,31,0.153662
22,32,0.114106
22,33,0.326146
22,34,0.357941
22,35,0.042713
22,36,0.038739
22,37,0.130018
22,38,0.171547
22,39,0.281592
22,40,0.057121
22,41,0.198979
22,42,0.194587
22,43,0.041384
22,44,0.156989
22,45,0.076478
22,46,0.004418
22,47,0.039614
22,48,0.028242
22,49,0.160834
22,50,0.150019
22,51,0.106459
22,52,0.04511
22,53,0.189806
23,1,0.068772
23,2,0.073789
23,3,0.25933
23,4,0.053222
23,5,0.236923
23,6,0.307901
23,7,0.027509
23,8,0.291888
23,9,0.043249
23,10,0.046069
23,11,0.080838
23,12,0.105926
23,13,0.159682
23,14,0.023328
23,15,0.130104
23,16,0.037285
23,17,0.163397
23,18,0.109094
23,19,0.097128
23,20,0.101693
23,21,0.036401
23,22,0.16056
23,23,0.035568
23,24,0.149875
23,25,0.275011
23,26,0.070681
23,27,0.055615
23,28,0.058519
23,29,0.109584
23,30,0.065286
23,31,0.205373
23,32,0.165816
23,33,0.30312
23,34,0.409651
23,35,0.056
23,36,0.052029
23,37,0.181728
23,38,0.148522
23,39,0.333302
23,40,0.070407
23,41,0.250704
23,42,0.246298
23,43,0.054671
23,44,0.208699
23,45,0.128189
23,46,0.010404
23,47,0.024912
23,48,0.022326
23,49,0.137808
23,50,0.20173
23,51,0.15817
23,52,0.058397
23,53,0.241517
24,1,0.070973
24,2,0.077985
24,3,0.273874
24,4,0.069552
24,5,0.253253
24,6,0.32423
24,7,0.031705
24,8,0.308218
24,9,0.047445
24,10,0.050264
24,11,0.085033
24,12,0.11448
24,13,0.168235
24,14,0.04415
24,15,0.146434
24,16,0.041481
24,17,0.179726
24,18,0.125424
24,19,0.113443
24,20,0.118022
24,21,0.040596
24,22,0.17689
24,23,0.039764
24,24,0.166205
24,25,0.291341
24,26,0.074877
24,27,0.059811
24,28,0.062715
24,29,0.125914
24,30,0.069482
24,31,0.221702
24,32,0.182146
24,33,0.311688
24,34,0.425981
24,35,0.060195
24,36,0.056221
24,37,0.198058
24,38,0.15709
24,39,0.349632
24,40,0.074603
24,41,0.267034
24,42,0.262627
24,43,0.058867
24,44,0.225029
24,45,0.144518
24,46,0.0146
24,47,0.045
24,48,0.024527
24,49,0.146376
24,50,0.218059
24,51,0.174499
24,52,0.062593
24,53,0.257846
25,1,0.067303
25,2,0.081918
25,3,0.263606
25,4,0.084859
25,5,0.26856
25,6,0.339538
25,7,0.035638
25,8,0.323525
25,9,0.051378
25,10,0.054198
25,11,0.08897
25,12,0.100195
25,13,0.15395
25,14,0.045907
25,15,0.161741
25,16,0.045417
25,17,0.195034
25,18,0.140746
25,19,0.128765
25,20,0.13333
25,21,0.044529
25,22,0.192197
25,23,0.043701
25,24,0.181512
25,25,0.306648
25,26,0.078814
25,27,0.063747
25,28,0.066648
25,29,0.141221
25,30,0.073415
25,31,0.23701
25,32,0.197467
25,33,0.297403
25,34,0.441288
25,35,0.064128
25,36,0.060158
25,37,0.213379
25,38,0.14279
25,39,0.364939
25,40,0.078536
25,41,0.282341
25,42,0.277934
25,43,0.0628
25,44,0.240336
25,45,0.159826
25,46,0.018533
25,47,0.047506
25,48,0.020857
25,49,0.132077
25,50,0.233366
25,51,0.189821
25,52,0.06653
25,53,0.273154
26,1,0.06004
26,2,0.071025
26,3,0.235339
26,4,0.073498
26,5,0.266731
26,6,0.337709
26,7,0.035168
26,8,0.321696
26,9,0.050908
26,10,0.053728
26,11,0.088497
26,12,0.071928
26,13,0.125683
26,14,0.038347
26,15,0.159912
26,16,0.044944
26,17,0.193205
26,18,0.138902
26,19,0.126922
26,20,0.131501
26,21,0.04406
26,22,0.190368
26,23,0.043227
26,24,0.179683
26,25,0.304819
26,26,0.07834
26,27,0.063274
26,28,0.066178
26,29,0.139392
26,30,0.072945
26,31,0.235181
26,32,0.195624
26,33,0.269136
26,34,0.404568
26,35,0.063659
26,36,0.059685
26,37,0.211536
26,38,0.114538
26,39,0.36311
26,40,0.078066
26,41,0.280512
26,42,0.276106
26,43,0.06233
26,44,0.238507
26,45,0.157997
26,46,0.018063
26,47,0.045173
26,48,0.013594
26,49,0.103824
26,50,0.231538
26,51,0.187978
26,52,0.066056
26,53,0.271325
27,1,0.058811
27,2,0.069797
27,3,0.230544
27,4,0.079546
27,5,0.274651
27,6,0.345629
27,7,0.037204
27,8,0.329616
27,9,0.052943
27,10,0.055763
27,11,0.090532
27,12,0.067147
27,13,0.120902
27,14,0.040118
27,15,0.167832
27,16,0.046979
27,17,0.201125
27,18,0.146822
27,19,0.134842
27,20,0.139421
27,21,0.046095
27,22,0.198288
27,23,0.045262
27,24,0.187603
27,25,0.312739
27,26,0.080375
27,27,0.065309
27,28,0.068213
27,29,0.147312
27,30,0.074981
27,31,0.243101
27,32,0.203544
27,33,0.264355
27,34,0.399787
27,35,0.065694
27,36,0.06172
27,37,0.219456
27,38,0.109742
27,39,0.37103
27,40,0.080101
27,41,0.288432
27,42,0.284026
27,43,0.064365
27,44,0.246427
27,45,0.165917
27,46,0.020098
27,47,0.051667
27,48,0.012365
27,49,0.099029
27,50,0.239458
27,51,0.195898
27,52,0.068091
27,53,0.279245
28,1,0.064809
28,2,0.070507
28,3,0.243907
28,4,0.02903
28,5,0.224136
28,6,0.295128
28,7,0.024224
28,8,0.279101
28,9,0.039967
28,10,0.042783
28,11,0.077556
28,12,0.090504
28,13,0.144259
28,14,0.014962
28,15,0.117317
28,16,0.034003
28,17,0.150624
28,18,0.096322
28,19,0.084341
28,20,0.088906
28,21,0.033115
28,22,0.147773
28,23,0.032286
28,24,0.137088
28,25,0.262224
28,26,0.067399
28,27,0.052333
28,28,0.055234
28,29,0.096811
28,30,0.062005
28,31,0.1926
28,32,0.153043
28,33,0.287698
28,34,0.396864
28,35,0.052714
28,36,0.048744
28,37,0.168955
28,38,0.133099
28,39,0.320515
28,40,0.067125
28,41,0.237917
28,42,0.23351
28,43,0.051386
28,44,0.195912
28,45,0.115402
28,46,0.007119
28,47,0.001166
28,48,0.018363
28,49,0.122386
28,50,0.188957
28,51,0.145397
28,52,0.055115
28,53,0.22873
29,1,0.061746
29,2,0.06344
29,3,0.23197
29,4,0.03911
29,5,0.238853
29,6,0.30983
29,7,0.028005
29,8,0.293818
29,9,0.043745
29,10,0.046564
29,11,0.081333
29,12,0.078566
29,13,0.132322
29,14,0.01751
29,15,0.132034
29,16,0.037781
29,17,0.165326
29,18,0.111024
29,19,0.099043
29,20,0.103622
29,21,0.036896
29,22,0.16249
29,23,0.036064
29,24,0.151805
29,25,0.276941
29,26,0.071177
29,27,0.056111
29,28,0.059015
29,29,0.111514
29,30,0.065782
29,31,0.207302
29,32,0.167746
29,33,0.275774
29,34,0.381499
29,35,0.056495
29,36,0.052521
29,37,0.183658
29,38,0.121162
29,39,0.335232
29,40,0.070903
29,41,0.252634
29,42,0.248227
29,43,0.055167
29,44,0.210629
29,45,0.130118
29,46,0.0109
29,47,0.015869
29,48,0.0153
29,49,0.110448
29,50,0.203659
29,51,0.160099
29,52,0.058893
29,53,0.243446
30,1,0.06421
30,2,0.07736
30,3,0.24156
30,4,0.057629
30,5,0.250805
30,6,0.321797
30,7,0.031076
30,8,0.30577
30,9,0.04682
30,10,0.049635
30,11,0.084408
30,12,0.088157
30,13,0.141912
